==================== AXHL PRE SEASON SCHEDULE - Created by Dakota ====================
Seed: 2550841796367335994
 
"W-Conf, C-Div, Winnipeg Jets VS W-Conf, C-Div, Toledo Walleye -> 2025-06-22, 9:55PM EST"
"W-Conf, P-Div, Ontario Reign VS E-Conf, M-Div, Florida Panthers -> 2025-06-22, 9:55PM EST"
"W-Conf, C-Div, Atlanta Flames VS W-Conf, P-Div, Calgary Flames -> 2025-06-22, 9:55PM EST"
"W-Conf, C-Div, Dallas Stars VS E-Conf, M-Div, London Knights -> 2025-06-22, 9:55PM EST"
"E-Conf, M-Div, Detroit Red Wings VS W-Conf, C-Div, Fort Wayne Komets -> 2025-06-22, 9:55PM EST"
"W-Conf, C-Div, Chicago Blackhawks VS W-Conf, P-Div, Vancouver Canucks -> 2025-06-22, 9:55PM EST"
"E-Conf, A-Div, Niagara Icedogs VS E-Conf, A-Div, Carolina Hurricanes -> 2025-06-22, 9:55PM EST"
"W-Conf, C-Div, St.Louis Blues VS W-Conf, P-Div, Colorado Avalanche -> 2025-06-22, 9:55PM EST"
"W-Conf, P-Div, Seattle Kraken VS W-Conf, C-Div, Cincinnati Cyclones -> 2025-06-22, 9:55PM EST"
"W-Conf, P-Div, Vegas Golden Knights VS E-Conf, M-Div, Columbus Blue Jackets -> 2025-06-22, 9:55PM EST"
"E-Conf, A-Div, Toronto Maple Leafs VS W-Conf, C-Div, Iowa Heartlanders -> 2025-06-22, 9:55PM EST"
"E-Conf, M-Div, Savannah Ghost Pirates VS E-Conf, M-Div, Jacksonville Icemen -> 2025-06-22, 9:55PM EST"
"E-Conf, M-Div, Windsor Spitfires VS E-Conf, A-Div, New York Islanders -> 2025-06-22, 9:55PM EST"
"E-Conf, M-Div, Toronto Marlies VS E-Conf, A-Div, New Jersey Devils -> 2025-06-22, 9:55PM EST"
"W-Conf, P-Div, Utah Grizzlies VS W-Conf, P-Div, Los Angeles Kings -> 2025-06-22, 9:55PM EST"
"E-Conf, A-Div, Montreal Canadiens VS W-Conf, P-Div, Edmonton Oilers -> 2025-06-22, 9:55PM EST"
"E-Conf, A-Div, Quebec Nordiques VS W-Conf, C-Div, Wichita Thunder -> 2025-06-22, 9:55PM EST"
"E-Conf, A-Div, Buffalo Sabers VS W-Conf, P-Div, San Jose Sharks -> 2025-06-22, 9:55PM EST"
"E-Conf, M-Div, Tampa Bay Lightning VS E-Conf, M-Div, Brantford Bulldogs -> 2025-06-22, 9:55PM EST"
"E-Conf, A-Div, Philadelphia Flyers VS E-Conf, A-Div, Boston Bruins -> 2025-06-22, 9:55PM EST"
 
"W-Conf, C-Div, Dallas Stars VS W-Conf, C-Div, Atlanta Flames -> 2025-06-22, 10:35PM EST"
"E-Conf, A-Div, New Jersey Devils VS E-Conf, A-Div, Buffalo Sabers -> 2025-06-22, 10:35PM EST"
"E-Conf, A-Div, Montreal Canadiens VS W-Conf, P-Div, Vegas Golden Knights -> 2025-06-22, 10:35PM EST"
"W-Conf, P-Div, Edmonton Oilers VS W-Conf, C-Div, Chicago Blackhawks -> 2025-06-22, 10:35PM EST"
"W-Conf, P-Div, Colorado Avalanche VS E-Conf, M-Div, Brantford Bulldogs -> 2025-06-22, 10:35PM EST"
"E-Conf, A-Div, Philadelphia Flyers VS E-Conf, M-Div, Savannah Ghost Pirates -> 2025-06-22, 10:35PM EST"
"E-Conf, A-Div, New York Islanders VS W-Conf, P-Div, Utah Grizzlies -> 2025-06-22, 10:35PM EST"
"E-Conf, A-Div, Boston Bruins VS W-Conf, P-Div, Vancouver Canucks -> 2025-06-22, 10:35PM EST"
"W-Conf, C-Div, Toledo Walleye VS E-Conf, A-Div, Carolina Hurricanes -> 2025-06-22, 10:35PM EST"
"W-Conf, C-Div, Iowa Heartlanders VS E-Conf, M-Div, Columbus Blue Jackets -> 2025-06-22, 10:35PM EST"
"E-Conf, M-Div, Tampa Bay Lightning VS E-Conf, M-Div, Toronto Marlies -> 2025-06-22, 10:35PM EST"
"E-Conf, M-Div, Windsor Spitfires VS W-Conf, P-Div, Ontario Reign -> 2025-06-22, 10:35PM EST"
"E-Conf, A-Div, Quebec Nordiques VS E-Conf, A-Div, Toronto Maple Leafs -> 2025-06-22, 10:35PM EST"
"W-Conf, C-Div, Wichita Thunder VS E-Conf, M-Div, London Knights -> 2025-06-22, 10:35PM EST"
"E-Conf, M-Div, Jacksonville Icemen VS W-Conf, P-Div, Calgary Flames -> 2025-06-22, 10:35PM EST"
"W-Conf, P-Div, Los Angeles Kings VS W-Conf, C-Div, Cincinnati Cyclones -> 2025-06-22, 10:35PM EST"
"E-Conf, M-Div, Detroit Red Wings VS W-Conf, C-Div, Winnipeg Jets -> 2025-06-22, 10:35PM EST"
"W-Conf, P-Div, Seattle Kraken VS W-Conf, C-Div, Fort Wayne Komets -> 2025-06-22, 10:35PM EST"
"W-Conf, C-Div, St.Louis Blues VS E-Conf, M-Div, Florida Panthers -> 2025-06-22, 10:35PM EST"
"W-Conf, P-Div, San Jose Sharks VS E-Conf, A-Div, Niagara Icedogs -> 2025-06-22, 10:35PM EST"
 
====================================================================================================
 
"E-Conf, A-Div, Philadelphia Flyers VS W-Conf, P-Div, Edmonton Oilers -> 2025-06-23, 9:55PM EST"
"W-Conf, C-Div, Toledo Walleye VS W-Conf, P-Div, Los Angeles Kings -> 2025-06-23, 9:55PM EST"
"E-Conf, M-Div, Columbus Blue Jackets VS W-Conf, C-Div, Dallas Stars -> 2025-06-23, 9:55PM EST"
"E-Conf, A-Div, Montreal Canadiens VS W-Conf, C-Div, Chicago Blackhawks -> 2025-06-23, 9:55PM EST"
"E-Conf, M-Div, London Knights VS W-Conf, C-Div, Fort Wayne Komets -> 2025-06-23, 9:55PM EST"
"W-Conf, C-Div, Iowa Heartlanders VS E-Conf, M-Div, Tampa Bay Lightning -> 2025-06-23, 9:55PM EST"
"E-Conf, M-Div, Brantford Bulldogs VS E-Conf, M-Div, Jacksonville Icemen -> 2025-06-23, 9:55PM EST"
"E-Conf, A-Div, Quebec Nordiques VS W-Conf, P-Div, Colorado Avalanche -> 2025-06-23, 9:55PM EST"
"E-Conf, M-Div, Windsor Spitfires VS E-Conf, M-Div, Florida Panthers -> 2025-06-23, 9:55PM EST"
"W-Conf, C-Div, St.Louis Blues VS E-Conf, A-Div, New York Islanders -> 2025-06-23, 9:55PM EST"
"E-Conf, M-Div, Savannah Ghost Pirates VS E-Conf, A-Div, Boston Bruins -> 2025-06-23, 9:55PM EST"
"E-Conf, M-Div, Toronto Marlies VS W-Conf, C-Div, Wichita Thunder -> 2025-06-23, 9:55PM EST"
"E-Conf, A-Div, Carolina Hurricanes VS W-Conf, P-Div, San Jose Sharks -> 2025-06-23, 9:55PM EST"
"W-Conf, C-Div, Atlanta Flames VS E-Conf, A-Div, Buffalo Sabers -> 2025-06-23, 9:55PM EST"
"W-Conf, P-Div, Seattle Kraken VS W-Conf, P-Div, Calgary Flames -> 2025-06-23, 9:55PM EST"
"E-Conf, A-Div, New Jersey Devils VS W-Conf, P-Div, Vegas Golden Knights -> 2025-06-23, 9:55PM EST"
"W-Conf, P-Div, Vancouver Canucks VS E-Conf, A-Div, Niagara Icedogs -> 2025-06-23, 9:55PM EST"
"W-Conf, C-Div, Winnipeg Jets VS W-Conf, P-Div, Utah Grizzlies -> 2025-06-23, 9:55PM EST"
"W-Conf, P-Div, Ontario Reign VS W-Conf, C-Div, Cincinnati Cyclones -> 2025-06-23, 9:55PM EST"
"E-Conf, A-Div, Toronto Maple Leafs VS E-Conf, M-Div, Detroit Red Wings -> 2025-06-23, 9:55PM EST"
 
"E-Conf, M-Div, Brantford Bulldogs VS W-Conf, C-Div, Iowa Heartlanders -> 2025-06-23, 10:35PM EST"
"E-Conf, A-Div, Toronto Maple Leafs VS E-Conf, M-Div, Jacksonville Icemen -> 2025-06-23, 10:35PM EST"
"W-Conf, P-Div, Colorado Avalanche VS W-Conf, C-Div, Cincinnati Cyclones -> 2025-06-23, 10:35PM EST"
"W-Conf, C-Div, Dallas Stars VS W-Conf, P-Div, Calgary Flames -> 2025-06-23, 10:35PM EST"
"E-Conf, M-Div, Toronto Marlies VS W-Conf, P-Div, Utah Grizzlies -> 2025-06-23, 10:35PM EST"
"E-Conf, A-Div, New Jersey Devils VS E-Conf, M-Div, Windsor Spitfires -> 2025-06-23, 10:35PM EST"
"E-Conf, M-Div, Savannah Ghost Pirates VS E-Conf, A-Div, Niagara Icedogs -> 2025-06-23, 10:35PM EST"
"W-Conf, P-Div, Los Angeles Kings VS W-Conf, C-Div, Fort Wayne Komets -> 2025-06-23, 10:35PM EST"
"W-Conf, P-Div, Vegas Golden Knights VS E-Conf, A-Div, Philadelphia Flyers -> 2025-06-23, 10:35PM EST"
"E-Conf, A-Div, Quebec Nordiques VS E-Conf, A-Div, Buffalo Sabers -> 2025-06-23, 10:35PM EST"
"W-Conf, C-Div, St.Louis Blues VS E-Conf, A-Div, Montreal Canadiens -> 2025-06-23, 10:35PM EST"
"W-Conf, C-Div, Wichita Thunder VS W-Conf, P-Div, Seattle Kraken -> 2025-06-23, 10:35PM EST"
"W-Conf, P-Div, San Jose Sharks VS W-Conf, C-Div, Toledo Walleye -> 2025-06-23, 10:35PM EST"
"E-Conf, M-Div, Detroit Red Wings VS E-Conf, M-Div, Columbus Blue Jackets -> 2025-06-23, 10:35PM EST"
"W-Conf, C-Div, Chicago Blackhawks VS E-Conf, A-Div, Carolina Hurricanes -> 2025-06-23, 10:35PM EST"
"W-Conf, C-Div, Atlanta Flames VS W-Conf, P-Div, Vancouver Canucks -> 2025-06-23, 10:35PM EST"
"E-Conf, M-Div, Tampa Bay Lightning VS E-Conf, M-Div, London Knights -> 2025-06-23, 10:35PM EST"
"E-Conf, A-Div, New York Islanders VS W-Conf, P-Div, Edmonton Oilers -> 2025-06-23, 10:35PM EST"
"W-Conf, C-Div, Winnipeg Jets VS E-Conf, M-Div, Florida Panthers -> 2025-06-23, 10:35PM EST"
"W-Conf, P-Div, Ontario Reign VS E-Conf, A-Div, Boston Bruins -> 2025-06-23, 10:35PM EST"
 
====================================================================================================
 
"E-Conf, A-Div, New Jersey Devils VS E-Conf, M-Div, Tampa Bay Lightning -> 2025-06-24, 9:55PM EST"
"W-Conf, P-Div, Calgary Flames VS W-Conf, C-Div, Cincinnati Cyclones -> 2025-06-24, 9:55PM EST"
"W-Conf, C-Div, Atlanta Flames VS E-Conf, M-Div, Toronto Marlies -> 2025-06-24, 9:55PM EST"
"W-Conf, C-Div, Chicago Blackhawks VS W-Conf, C-Div, Toledo Walleye -> 2025-06-24, 9:55PM EST"
"W-Conf, C-Div, Wichita Thunder VS E-Conf, M-Div, Florida Panthers -> 2025-06-24, 9:55PM EST"
"E-Conf, A-Div, Montreal Canadiens VS E-Conf, M-Div, Brantford Bulldogs -> 2025-06-24, 9:55PM EST"
"W-Conf, C-Div, Fort Wayne Komets VS E-Conf, M-Div, Jacksonville Icemen -> 2025-06-24, 9:55PM EST"
"E-Conf, A-Div, Niagara Icedogs VS E-Conf, A-Div, Boston Bruins -> 2025-06-24, 9:55PM EST"
"W-Conf, P-Div, San Jose Sharks VS W-Conf, C-Div, St.Louis Blues -> 2025-06-24, 9:55PM EST"
"E-Conf, M-Div, Windsor Spitfires VS W-Conf, P-Div, Seattle Kraken -> 2025-06-24, 9:55PM EST"
"E-Conf, M-Div, Savannah Ghost Pirates VS W-Conf, P-Div, Edmonton Oilers -> 2025-06-24, 9:55PM EST"
"W-Conf, C-Div, Winnipeg Jets VS W-Conf, P-Div, Vancouver Canucks -> 2025-06-24, 9:55PM EST"
"E-Conf, A-Div, New York Islanders VS E-Conf, M-Div, Columbus Blue Jackets -> 2025-06-24, 9:55PM EST"
"E-Conf, A-Div, Quebec Nordiques VS W-Conf, P-Div, Utah Grizzlies -> 2025-06-24, 9:55PM EST"
"E-Conf, M-Div, London Knights VS E-Conf, A-Div, Toronto Maple Leafs -> 2025-06-24, 9:55PM EST"
"W-Conf, P-Div, Colorado Avalanche VS E-Conf, A-Div, Buffalo Sabers -> 2025-06-24, 9:55PM EST"
"W-Conf, P-Div, Ontario Reign VS W-Conf, C-Div, Iowa Heartlanders -> 2025-06-24, 9:55PM EST"
"W-Conf, P-Div, Vegas Golden Knights VS E-Conf, M-Div, Detroit Red Wings -> 2025-06-24, 9:55PM EST"
"W-Conf, P-Div, Los Angeles Kings VS E-Conf, A-Div, Philadelphia Flyers -> 2025-06-24, 9:55PM EST"
"W-Conf, C-Div, Dallas Stars VS E-Conf, A-Div, Carolina Hurricanes -> 2025-06-24, 9:55PM EST"
 
"E-Conf, A-Div, Montreal Canadiens VS W-Conf, P-Div, Los Angeles Kings -> 2025-06-24, 10:35PM EST"
"W-Conf, C-Div, Dallas Stars VS E-Conf, M-Div, Florida Panthers -> 2025-06-24, 10:35PM EST"
"W-Conf, P-Div, San Jose Sharks VS E-Conf, A-Div, Boston Bruins -> 2025-06-24, 10:35PM EST"
"E-Conf, A-Div, Philadelphia Flyers VS E-Conf, A-Div, Buffalo Sabers -> 2025-06-24, 10:35PM EST"
"E-Conf, A-Div, Niagara Icedogs VS W-Conf, P-Div, Seattle Kraken -> 2025-06-24, 10:35PM EST"
"E-Conf, M-Div, Brantford Bulldogs VS E-Conf, A-Div, Toronto Maple Leafs -> 2025-06-24, 10:35PM EST"
"W-Conf, C-Div, Cincinnati Cyclones VS W-Conf, C-Div, Fort Wayne Komets -> 2025-06-24, 10:35PM EST"
