==================== AXHL REGULAR SEASON SCHEDULE - Created by Dakota ====================
Seed: 413860169832009512
 
"(HOME) W-Conf, C-Div, St.Louis Blues VS (AWAY) E-Conf, M-Div, Detroit Red Wings -> 2024-07-07, 9:55PM EST"
"(HOME) W-Conf, P-Div, Calgary Flames VS (AWAY) W-Conf, P-Div, Edmonton Oilers -> 2024-07-07, 9:55PM EST"
"(HOME) W-Conf, C-Div, Iowa Heartlanders VS (AWAY) W-Conf, P-Div, Vancouver Canucks -> 2024-07-07, 9:55PM EST"
"(HOME) E-Conf, M-Div, Columbus Blue Jackets VS (AWAY) E-Conf, A-Div, Carolina Hurricanes -> 2024-07-07, 9:55PM EST"
"(HOME) W-Conf, C-Div, Winnipeg Jets VS (AWAY) W-Conf, C-Div, Cincinnati Cyclones -> 2024-07-07, 9:55PM EST"
"(HOME) E-Conf, M-Div, Brantford Bulldogs VS (AWAY) W-Conf, C-Div, Chicago Blackhawks -> 2024-07-07, 9:55PM EST"
"(HOME) E-Conf, A-Div, Toronto Maple Leafs VS (AWAY) E-Conf, M-Div, Jacksonville Icemen -> 2024-07-07, 9:55PM EST"
"(HOME) E-Conf, A-Div, Montreal Canadiens VS (AWAY) E-Conf, A-Div, Buffalo Sabers -> 2024-07-07, 9:55PM EST"
"(HOME) W-Conf, C-Div, Wichita Thunder VS (AWAY) E-Conf, A-Div, New York Islanders -> 2024-07-07, 9:55PM EST"
"(HOME) E-Conf, M-Div, Florida Panthers VS (AWAY) W-Conf, P-Div, San Jose Sharks -> 2024-07-07, 9:55PM EST"
"(HOME) W-Conf, P-Div, Seattle Kraken VS (AWAY) W-Conf, P-Div, Utah Grizzlies -> 2024-07-07, 9:55PM EST"
"(HOME) W-Conf, C-Div, Fort Wayne Komets VS (AWAY) W-Conf, P-Div, Los Angeles Kings -> 2024-07-07, 9:55PM EST"
"(HOME) W-Conf, C-Div, Atlanta Flames VS (AWAY) E-Conf, M-Div, Tampa Bay Lightning -> 2024-07-07, 9:55PM EST"
