==================== AXHL PRE SEASON SCHEDULE - Created by Dakota ====================
Seed: 9041950532649856182
 
"Montreal Canadiens VS Saint John Sea Dogs -> 2025-02-16, 9:55PM EST"
"Edmonton Oilers VS Vancouver Canucks -> 2025-02-16, 9:55PM EST"
"Toronto Maple Leafs VS Syracuse Crunch -> 2025-02-16, 9:55PM EST"
"Springfield Thunderbirds VS Detroit Red Wings -> 2025-02-16, 9:55PM EST"
"Carolina Hurricanes VS Washington Capitals -> 2025-02-16, 9:55PM EST"
"Dallas Stars VS Manitoba Moose -> 2025-02-16, 9:55PM EST"
"Albany Devils VS Brampton Beast -> 2025-02-16, 9:55PM EST"
"Pittsburgh Penguins VS New York Rangers -> 2025-02-16, 9:55PM EST"
"Cincinnati Cyclones VS Cincinnati Mighty Ducks -> 2025-02-16, 9:55PM EST"
"Hershey Bears VS Edmonton Road Runners -> 2025-02-16, 9:55PM EST"
"Bloomington Bison VS Minnesota Wild -> 2025-02-16, 9:55PM EST"
"Toeldo Walleye VS Calgary Flames -> 2025-02-16, 9:55PM EST"
"New Haven Eagles VS Ontario Reign -> 2025-02-16, 9:55PM EST"
"Los Angeles Kings VS Greenville Swamp Rabbits -> 2025-02-16, 9:55PM EST"
"Columus Cottonmouths VS Utah HC -> 2025-02-16, 9:55PM EST"
"Jacksonville Icemen VS New Jersey Devils -> 2025-02-16, 9:55PM EST"
"San Jose Sharks VS Iowa Heartlanders -> 2025-02-16, 9:55PM EST"
"Vegas Golden Knights VS TampaBay Lightning -> 2025-02-16, 9:55PM EST"
"Florida Panthers VS Lehigh Valley Phantoms -> 2025-02-16, 9:55PM EST"
"Grand Rapids Griffins VS Chicago Blackhawks -> 2025-02-16, 9:55PM EST"
 
"Columus Cottonmouths VS Hershey Bears -> 2025-02-16, 10:35PM EST"
"Carolina Hurricanes VS Saint John Sea Dogs -> 2025-02-16, 10:35PM EST"
"Albany Devils VS Ontario Reign -> 2025-02-16, 10:35PM EST"
"San Jose Sharks VS Chicago Blackhawks -> 2025-02-16, 10:35PM EST"
"Grand Rapids Griffins VS Vegas Golden Knights -> 2025-02-16, 10:35PM EST"
"Dallas Stars VS Cincinnati Mighty Ducks -> 2025-02-16, 10:35PM EST"
"Iowa Heartlanders VS Florida Panthers -> 2025-02-16, 10:35PM EST"
"Edmonton Oilers VS Syracuse Crunch -> 2025-02-16, 10:35PM EST"
"Pittsburgh Penguins VS Greenville Swamp Rabbits -> 2025-02-16, 10:35PM EST"
"Vancouver Canucks VS Calgary Flames -> 2025-02-16, 10:35PM EST"
"Washington Capitals VS Manitoba Moose -> 2025-02-16, 10:35PM EST"
"Edmonton Road Runners VS New Haven Eagles -> 2025-02-16, 10:35PM EST"
"New York Rangers VS Toronto Maple Leafs -> 2025-02-16, 10:35PM EST"
"Detroit Red Wings VS Los Angeles Kings -> 2025-02-16, 10:35PM EST"
"Toeldo Walleye VS Cincinnati Cyclones -> 2025-02-16, 10:35PM EST"
"Lehigh Valley Phantoms VS TampaBay Lightning -> 2025-02-16, 10:35PM EST"
"New Jersey Devils VS Bloomington Bison -> 2025-02-16, 10:35PM EST"
"Utah HC VS Minnesota Wild -> 2025-02-16, 10:35PM EST"
"Springfield Thunderbirds VS Jacksonville Icemen -> 2025-02-16, 10:35PM EST"
"Brampton Beast VS Montreal Canadiens -> 2025-02-16, 10:35PM EST"
 
====================================================================================================
 
"Columus Cottonmouths VS Pittsburgh Penguins -> 2025-02-17, 9:55PM EST"
"Ontario Reign VS Greenville Swamp Rabbits -> 2025-02-17, 9:55PM EST"
"San Jose Sharks VS Montreal Canadiens -> 2025-02-17, 9:55PM EST"
"Springfield Thunderbirds VS Iowa Heartlanders -> 2025-02-17, 9:55PM EST"
"Jacksonville Icemen VS Bloomington Bison -> 2025-02-17, 9:55PM EST"
"Cincinnati Cyclones VS Florida Panthers -> 2025-02-17, 9:55PM EST"
"Washington Capitals VS Los Angeles Kings -> 2025-02-17, 9:55PM EST"
"Syracuse Crunch VS Albany Devils -> 2025-02-17, 9:55PM EST"
"Detroit Red Wings VS Hershey Bears -> 2025-02-17, 9:55PM EST"
"Vancouver Canucks VS Brampton Beast -> 2025-02-17, 9:55PM EST"
"Chicago Blackhawks VS Dallas Stars -> 2025-02-17, 9:55PM EST"
"Lehigh Valley Phantoms VS New Haven Eagles -> 2025-02-17, 9:55PM EST"
"Utah HC VS Grand Rapids Griffins -> 2025-02-17, 9:55PM EST"
"Edmonton Road Runners VS New Jersey Devils -> 2025-02-17, 9:55PM EST"
"TampaBay Lightning VS Toeldo Walleye -> 2025-02-17, 9:55PM EST"
"New York Rangers VS Saint John Sea Dogs -> 2025-02-17, 9:55PM EST"
"Cincinnati Mighty Ducks VS Manitoba Moose -> 2025-02-17, 9:55PM EST"
